Customer_ID,Customer_Age,Gender,City,Region,Customer_Segment,Campaign_ID,Campaign_Name,Campaign_Date,Channel,Campaign_Type,Product_Category,Product,Impressions,Clicks,Leads,Conversions,Marketing_Spend,Revenue,Customer_Acquisition_Cost,Order_Value
CUST-5916,31,Female,New York,North East,Consumer Budget,CMP-113,High-Spend Experimental Push,2025-05-12,Google Ads,Brand Awareness,Electronics,4K UltraHD Streamer Box,212118,9010,969.0,32,3098.32,4132.8,96.82,129.15
CUST-7544,53,Male,Chicago,Midwest,Consumer Premium,CMP-105,SmartHome Hub Launch,2025-03-24,Google Ads,Product Launch,Electronics,Smart noise-canceling Headphones,54738,2285,178.0,30,634.07,5636.4,21.14,187.88
CUST-6018,18,Male,Dallas,South,SMB,CMP-106,Fall Hardware Promo,2024-05-10,Facebook,Seasonal Sale,Home & Living,Ergonomic Executive Chair,218930,6539,842.0,77,2131.41,25168.22,27.68,326.86
CUST-3558,26,Male,Atlanta,South,Consumer Budget,CMP-104,Summer Fashion Retargeting,2025-03-15,Referral,Retargeting,Apparel,Premium Designer Denim Jacket,156713,6183,500.0,99,2176.47,8433.81,21.98,85.19
CUST-3784,44,Female,New York,North East,Consumer Budget,CMP-113,High-Spend Experimental Push,2024-01-11,Display,Brand Awareness,Fitness,UltraFit Smartwatch 5,334079,3514,311.0,4,6590.14,557.08,1647.54,139.27
CUST-1093,37,Female,Dallas,South,B2B Enterprise,CMP-101,Q1 Brand Refresh,2025-02-10,Instagram,Brand Awareness,Software/SaaS,CloudAnalytics Pro SaaS,146729,5063,646.0,80,1354.45,40031.2,16.93,500.39
CUST-3326,36,Female,Seattle,West,Consumer Budget,CMP-107,Cyber November Mega Sale,2025-06-23,Google Ads,Seasonal Sale,Apparel,Premium Designer Denim Jacket,92643,4383,511.0,90,1639.8,8349.3,18.22,92.77
CUST-8771,44,Female,Minneapolis,Midwest,SMB,CMP-108,Holiday Gift Extravaganza,2024-04-01,Search,Seasonal Sale,Home & Living,Adjustable Standing Desk,127963,6755,659.0,125,2454.65,55550.0,19.64,444.4
CUST-4190,40,Male,Atlanta,South,SMB,CMP-114,Low-Budget High-Conversion Niche,2024-07-09,Search,Lead Generation,Software/SaaS,CloudAnalytics Pro SaaS,83633,4292,1015.0,325,774.29,169156.0,2.38,520.48
CUST-5969,33,Male,Los Angeles,West,SMB,CMP-105,SmartHome Hub Launch,2025-02-12,Email,Product Launch,Home & Living,Ergonomic Executive Chair,112331,6920,614.0,83,1907.84,24080.79,22.99,290.13
CUST-2593,46,Male,Boston,North East,Consumer Budget,CMP-101,Q1 Brand Refresh,2025-04-16,Email,Brand Awareness,Fitness,UltraFit Smartwatch 5,26300,1893,165.0,33,655.64,5032.5,19.87,152.5
CUST-6630,38,Female,Minneapolis,Midwest,Consumer Budget,CMP-109,Email Newsletter Nurture,2024-05-13,YouTube,Lead Generation,Electronics,4K UltraHD Streamer Box,138759,2184,526.0,52,2078.94,7035.08,39.98,135.29
CUST-6172,42,Male,New York,North East,SMB,CMP-101,Q1 Brand Refresh,2024-07-05,Google Ads,Brand Awareness,Software/SaaS,CloudAnalytics Pro SaaS,49872,2376,278.0,43,1081.29,20417.26,25.15,474.82
CUST-8061,58,Female,Dallas,South,SMB,CMP-103,Enterprise SaaS LeadGen,2024-03-09,Google Ads,Lead Generation,Home & Living,Adjustable Standing Desk,196562,9596,2000.0,310,1747.78,151230.4,5.64,487.84
CUST-6745,41,Male,Chicago,Midwest,B2B Enterprise,CMP-111,Influencer Video Push,2024-02-05,YouTube,Brand Awareness,Software/SaaS,CloudAnalytics Pro SaaS,42521,622,44.0,5,996.26,2726.95,199.25,545.39
CUST-7764,21,Male,Atlanta,South,Consumer Premium,CMP-110,Display Banner Remarketing,2024-12-23,Instagram,Retargeting,Home & Living,Ergonomic Executive Chair,162353,6056,435.0,46,1985.16,13447.18,43.16,292.33
CUST-7352,36,Female,Philadelphia,North East,Consumer Premium,CMP-106,Fall Hardware Promo,2024-12-03,Facebook,Seasonal Sale,Electronics,Smart noise-canceling Headphones,89474,2090,242.0,27,1573.36,5279.04,58.27,195.52
CUST-4198,46,Male,Seattle,West,Consumer Premium,CMP-108,Holiday Gift Extravaganza,2024-04-02,Display,Seasonal Sale,Home & Living,Ergonomic Executive Chair,95392,1054,118.0,8,2143.38,2584.0,267.92,323.0
CUST-2660,51,Male,Philadelphia,North East,Consumer Premium,CMP-111,Influencer Video Push,2024-09-06,Google Ads,Brand Awareness,Electronics,Smart noise-canceling Headphones,45131,1897,228.0,31,543.95,6769.16,17.55,218.36
CUST-3486,48,Male,New York,North East,Consumer Budget,CMP-114,Low-Budget High-Conversion Niche,2024-09-08,Display,Lead Generation,Apparel,Premium Designer Denim Jacket,58785,806,,24,1203.46,2226.96,50.14,92.79
CUST-8284,29,Male,Detroit,Midwest,Consumer Premium,CMP-108,Holiday Gift Extravaganza,2024-08-12,Instagram,Seasonal Sale,Fitness,UltraFit Smartwatch 5,64214,2414,313.0,37,600.71,5235.87,16.24,141.51
CUST-6411,60,Female,New York,North East,SMB,CMP-112,VIP Customer Loyalty Drive,2024-09-07,Google Ads,Retargeting,Home & Living,Adjustable Standing Desk,127789,6502,625.0,83,2008.09,34892.37,24.19,420.39
CUST-5442,57,Female,San Francisco,West,SMB,CMP-102,Spring Tech Blowout,2024-08-25,Google Ads,Seasonal Sale,Software/SaaS,CloudAnalytics Pro SaaS,79809,3087,373.0,65,707.77,33582.9,10.89,516.66
CUST-3832,32,Male,Minneapolis,Midwest,Consumer Premium,CMP-103,Enterprise SaaS LeadGen,2024-02-23,Facebook,Lead Generation,Home & Living,Adjustable Standing Desk,100902,3218,805.0,89,2413.04,40341.92,27.11,453.28
CUST-5417,35,Male,Detroit,Midwest,Consumer Premium,CMP-102,Spring Tech Blowout,2025-02-03,Google Ads,Seasonal Sale,Fitness,UltraFit Smartwatch 5,260185,13419,1351.0,212,2320.21,30341.44,10.94,143.12
CUST-1282,47,Male,Seattle,West,SMB,CMP-107,Cyber November Mega Sale,2024-10-23,Facebook,Seasonal Sale,Home & Living,Ergonomic Executive Chair,21337,536,40.0,4,514.14,1205.0,128.53,301.25
CUST-3163,42,Female,Minneapolis,Midwest,SMB,CMP-109,Email Newsletter Nurture,2024-03-25,YouTube,Lead Generation,Home & Living,Adjustable Standing Desk,75870,1415,235.0,26,1030.85,12012.78,39.65,462.03
CUST-3970,46,Male,Dallas,South,B2B Enterprise,CMP-106,Fall Hardware Promo,2024-09-16,Facebook,Seasonal Sale,Software/SaaS,CloudAnalytics Pro SaaS,9690,241,30.0,3,200.44,1480.92,66.81,493.64
CUST-7687,18,Male,Minneapolis,Midwest,Consumer Premium,CMP-108,Holiday Gift Extravaganza,2024-08-30,Google Ads,Seasonal Sale,Home & Living,Ergonomic Executive Chair,203404,10374,1235.0,158,2382.79,49232.8,15.08,311.6
CUST-5976,39,Male,Seattle,West,Consumer Budget,CMP-109,Email Newsletter Nurture,2024-08-05,Search,Lead Generation,Fitness,UltraFit Smartwatch 5,158255,7140,1822.0,331,2305.55,48653.69,6.97,146.99
CUST-8155,32,Male,San Francisco,West,SMB,CMP-106,Fall Hardware Promo,2024-01-10,YouTube,Seasonal Sale,Software/SaaS,CloudAnalytics Pro SaaS,25764,483,45.0,4,630.65,1954.24,157.66,488.56
CUST-8598,38,Male,Boston,North East,Consumer Premium,CMP-105,SmartHome Hub Launch,2025-03-17,Google Ads,Product Launch,Fitness,UltraFit Smartwatch 5,89463,3382,309.0,46,1808.79,7229.82,39.32,157.17
CUST-9232,33,Female,San Francisco,West,Consumer Budget,CMP-106,Fall Hardware Promo,2024-02-23,Facebook,Seasonal Sale,Electronics,4K UltraHD Streamer Box,118266,2999,356.0,35,1682.46,4161.5,48.07,118.9
CUST-8975,60,Male,Seattle,West,Consumer Budget,CMP-102,Spring Tech Blowout,2025-03-27,Email,Seasonal Sale,Apparel,Premium Designer Denim Jacket,136851,9754,730.0,139,1696.99,11655.15,12.21,83.85
CUST-7920,56,Male,San Francisco,West,SMB,CMP-101,Q1 Brand Refresh,2024-06-23,Google Ads,Brand Awareness,Home & Living,Adjustable Standing Desk,221039,10998,895.0,120,2140.77,58513.2,17.84,487.61
CUST-6139,37,Female,Philadelphia,North East,SMB,CMP-106,Fall Hardware Promo,2024-12-05,Instagram,Seasonal Sale,Software/SaaS,CloudAnalytics Pro SaaS,156291,5169,370.0,45,2808.85,21851.1,62.42,485.58
CUST-5948,42,Female,Philadelphia,North East,SMB,CMP-112,VIP Customer Loyalty Drive,2024-10-14,Facebook,Retargeting,Software/SaaS,CloudAnalytics Pro SaaS,234471,5914,587.0,67,2438.43,33758.62,36.39,503.86
CUST-9332,20,Female,Chicago,Midwest,Consumer Budget,CMP-109,Email Newsletter Nurture,2025-04-06,Google Ads,Lead Generation,Electronics,4K UltraHD Streamer Box,136365,7180,1134.0,167,2370.76,21244.07,14.2,127.21
CUST-3428,23,Female,Dallas,South,SMB,CMP-107,Cyber November Mega Sale,2024-01-21,Display,Seasonal Sale,Home & Living,Ergonomic Executive Chair,94619,911,76.0,4,1971.09,1206.24,492.77,301.56
CUST-1763,36,Female,Los Angeles,West,,CMP-114,Low-Budget High-Conversion Niche,2024-12-02,Instagram,Lead Generation,Fitness,UltraFit Smartwatch 5,23424,730,132.0,33,495.62,5288.58,15.02,160.26
CUST-7982,35,Non-Binary,Los Angeles,West,SMB,CMP-113,High-Spend Experimental Push,2024-11-04,Facebook,Brand Awareness,Software/SaaS,CloudAnalytics Pro SaaS,401697,10583,,25,4263.23,13246.5,170.53,529.86
CUST-7018,38,Female,Detroit,Midwest,Consumer Premium,CMP-112,VIP Customer Loyalty Drive,2025-02-12,Referral,Retargeting,Fitness,UltraFit Smartwatch 5,139420,7970,702.0,130,1944.13,20147.4,14.95,154.98
CUST-1574,24,Female,Dallas,South,SMB,CMP-106,Fall Hardware Promo,2024-08-21,Facebook,Seasonal Sale,Home & Living,Adjustable Standing Desk,11620,276,34.0,4,256.0,1787.24,64.0,446.81
CUST-3544,18,Female,Miami,South,,CMP-112,VIP Customer Loyalty Drive,2025-06-29,Google Ads,Retargeting,Software/SaaS,CloudAnalytics Pro SaaS,126880,4785,456.0,79,1549.75,41188.23,19.62,521.37
CUST-5157,47,Male,Dallas,South,B2B Enterprise,CMP-107,Cyber November Mega Sale,2025-06-14,Search,Seasonal Sale,Software/SaaS,CyberSecurity Enterprise Suite,21749,1211,101.0,13,326.96,16442.53,25.15,1264.81
CUST-6349,50,Male,Atlanta,South,Consumer Budget,CMP-108,Holiday Gift Extravaganza,2025-06-29,google ads,Seasonal Sale,Apparel,Premium Designer Denim Jacket,214853,10556,1072.0,156,2091.61,14412.84,13.41,92.39
CUST-8769,34,Female,Seattle,West,Consumer Budget,CMP-102,Spring Tech Blowout,2024-12-19,Facebook,Seasonal Sale,Fitness,UltraFit Smartwatch 5,112486,3614,454.0,56,1560.26,8880.48,27.86,158.58
CUST-1957,31,Female,Miami,South,Consumer Budget,CMP-101,Q1 Brand Refresh,2024-09-11,Instagram,Brand Awareness,Fitness,UltraFit Smartwatch 5,37652,1081,132.0,19,935.72,3010.74,49.25,158.46
CUST-4036,31,Male,Atlanta,South,SMB,CMP-112,VIP Customer Loyalty Drive,2024-11-15,YouTube,Retargeting,Software/SaaS,CloudAnalytics Pro SaaS,232120,4553,414.0,41,2367.33,18923.96,57.74,461.56
CUST-8837,56,Other,Miami,South,B2B Enterprise,CMP-104,Summer Fashion Retargeting,2024-11-20,Facebook,Retargeting,Software/SaaS,CloudAnalytics Pro SaaS,260898,6033,618.0,57,3092.84,29691.87,54.26,520.91
CUST-5786,40,Female,Boston,North East,SMB,CMP-103,Enterprise SaaS LeadGen,2024-10-29,Facebook,Lead Generation,Home & Living,Ergonomic Executive Chair,50005,1182,234.0,21,607.88,5665.59,28.95,269.79
CUST-1238,35,Female,Philadelphia,North East,Consumer Budget,CMP-105,SmartHome Hub Launch,2024-03-13,Email,Product Launch,Electronics,4K UltraHD Streamer Box,166993,8368,614.0,117,2252.51,15789.15,19.25,134.95
CUST-7573,32,Female,Chicago,Midwest,Consumer Premium,CMP-107,Cyber November Mega Sale,2025-04-23,YouTube,Seasonal Sale,Home & Living,Ergonomic Executive Chair,43220,736,72.0,7,984.86,2212.56,140.69,316.08
CUST-6529,37,Female,San Francisco,West,SMB,CMP-108,Holiday Gift Extravaganza,2025-02-03,YouTube,Seasonal Sale,Software/SaaS,CloudAnalytics Pro SaaS,112684,2017,149.0,14,1465.81,6927.62,104.7,494.83
CUST-9010,54,Female,Philadelphia,North East,Consumer Premium,CMP-107,Cyber November Mega Sale,2025-05-20,Facebook,Seasonal Sale,Fitness,UltraFit Smartwatch 5,48313,1367,145.0,13,1032.45,1925.95,79.42,148.15
CUST-5038,48,Female,Atlanta,South,Consumer Budget,CMP-105,SmartHome Hub Launch,2025-05-16,Search,Product Launch,Electronics,4K UltraHD Streamer Box,120757,6253,609.0,108,2231.16,,20.66,129.55
CUST-5918,33,Female,New York,North East,Consumer Budget,CMP-110,Display Banner Remarketing,2024-10-16,Display,Retargeting,Electronics,4K UltraHD Streamer Box,116875,1252,125.0,6,2078.63,772.26,346.44,128.71
CUST-2993,47,Male,Los Angeles,West,Consumer Premium,CMP-102,Spring Tech Blowout,2024-06-24,Instagram,Seasonal Sale,Fitness,UltraFit Smartwatch 5,24520,648,78.0,8,380.53,1185.12,47.57,148.14
CUST-3526,18,Male,Chicago,Midwest,Consumer Premium,CMP-103,Enterprise SaaS LeadGen,2024-01-07,Google Ads,Lead Generation,Fitness,UltraFit Smartwatch 5,109228,4710,1084.0,139,1474.85,21330.94,10.61,153.46
CUST-3532,35,Male,Chicago,Midwest,B2B Enterprise,CMP-105,SmartHome Hub Launch,2024-02-20,Facebook,Product Launch,Software/SaaS,CloudAnalytics Pro SaaS,71498,1642,156.0,21,1540.85,9684.15,73.37,461.15
CUST-8285,23,Female,New York,North East,Consumer Budget,CMP-106,Fall Hardware Promo,2024-10-05,Search,Seasonal Sale,Fitness,UltraFit Smartwatch 5,53453,2277,221.0,37,972.81,5749.8,26.29,155.4
CUST-8227,47,Female,Seattle,West,Consumer Premium,CMP-106,Fall Hardware Promo,2024-10-31,Email,Seasonal Sale,Home & Living,Adjustable Standing Desk,60686,2994,386.0,72,1094.69,34789.68,15.2,483.19
CUST-9787,27,Male,Boston,North East,Consumer Budget,CMP-109,Email Newsletter Nurture,2024-08-07,Email,Lead Generation,Apparel,Premium Designer Denim Jacket,73485,5210,1302.0,195,1082.5,18330.0,5.55,94.0
CUST-1464,42,Male,Minneapolis,Midwest,Consumer Budget,CMP-102,Spring Tech Blowout,2024-05-31,Display,Seasonal Sale,Fitness,UltraFit Smartwatch 5,21012,235,28.0,1,328.87,140.39,328.87,140.39
CUST-7352,18,Male,Chicago,Midwest,SMB,CMP-114,Low-Budget High-Conversion Niche,2024-01-15,Google Ads,Lead Generation,Home & Living,Adjustable Standing Desk,33387,1570,249.0,94,774.35,41757.62,8.24,444.23
CUST-1195,32,Female,San Francisco,West,Consumer Premium,CMP-114,Low-Budget High-Conversion Niche,2024-08-26,Instagram,Lead Generation,Electronics,Smart noise-canceling Headphones,33089,992,168.0,41,780.6,8930.21,19.04,217.81
CUST-2436,18,Male,Minneapolis,Midwest,Consumer Premium,CMP-106,Fall Hardware Promo,2025-02-09,Facebook,Seasonal Sale,Electronics,Smart noise-canceling Headphones,72044,2128,200.0,18,1232.18,3888.72,68.45,216.04
CUST-5247,53,Female,Minneapolis,Midwest,B2B Enterprise,CMP-111,Influencer Video Push,2024-03-18,Search,Brand Awareness,Software/SaaS,CloudAnalytics Pro SaaS,118656,5673,563.0,100,2287.99,53024.0,22.88,530.24
CUST-2380,38,Male,San Francisco,West,SMB,CMP-109,Email Newsletter Nurture,2024-12-07,YouTube,Lead Generation,Home & Living,Ergonomic Executive Chair,318356,5864,1195.0,113,3234.65,33168.89,28.63,293.53
CUST-5600,28,Male,Dallas,South,B2B Enterprise,CMP-104,Summer Fashion Retargeting,2025-04-12,Referral,Retargeting,Software/SaaS,CloudAnalytics Pro SaaS,82848,4286,419.0,84,1702.83,39717.72,20.27,472.83
CUST-9856,18,Female,New York,North East,Consumer Premium,CMP-109,Email Newsletter Nurture,2024-05-10,Instagram,Lead Generation,Fitness,UltraFit Smartwatch 5,192680,5351,1078.0,127,2021.41,17688.56,15.92,139.28
CUST-1435,65,Female,Los Angeles,West,Consumer Budget,CMP-104,Summer Fashion Retargeting,2024-08-14,Instagram,Retargeting,Fitness,UltraFit Smartwatch 5,164493,4504,448.0,58,1714.28,9479.52,29.56,163.44
CUST-2749,50,Non-Binary,Los Angeles,West,Consumer Premium,CMP-109,Email Newsletter Nurture,2025-01-16,Facebook,Lead Generation,Home & Living,Adjustable Standing Desk,48614,1232,203.0,19,621.54,8989.66,32.71,473.14
CUST-7726,44,Female,Los Angeles,West,Consumer Premium,CMP-101,Q1 Brand Refresh,2024-03-22,Search,Brand Awareness,Home & Living,Ergonomic Executive Chair,49276,2365,288.0,49,1183.57,15527.12,24.15,316.88
CUST-3412,47,Male,Seattle,West,B2B Enterprise,CMP-101,Q1 Brand Refresh,2024-07-06,Search,Brand Awareness,Software/SaaS,CyberSecurity Enterprise Suite,35802,2026,220.0,30,615.52,33797.7,20.52,1126.59
CUST-6424,45,Female,San Francisco,West,B2B Enterprise,CMP-113,High-Spend Experimental Push,2025-03-10,Instagram,Brand Awareness,Software/SaaS,CyberSecurity Enterprise Suite,168617,5602,576.0,19,3601.36,23591.16,189.55,1241.64
CUST-9144,18,Non-Binary,Chicago,Midwest,SMB,CMP-108,Holiday Gift Extravaganza,2024-07-06,Google Ads,Seasonal Sale,Software/SaaS,CloudAnalytics Pro SaaS,83918,3638,426.0,63,1397.14,30215.43,22.18,479.61
CUST-2164,25,Male,Dallas,South,Consumer Budget,CMP-112,VIP Customer Loyalty Drive,2024-09-21,Instagram,Retargeting,Apparel,Premium Designer Denim Jacket,51439,1711,166.0,21,984.4,1934.52,46.88,92.12
CUST-3856,33,Male,Minneapolis,Midwest,Consumer Premium,CMP-103,Enterprise SaaS LeadGen,2025-01-31,Google Ads,Lead Generation,Electronics,Smart noise-canceling Headphones,27616,1484,290.0,40,606.79,8646.8,15.17,216.17
CUST-1953,43,Female,Minneapolis,Midwest,Consumer Budget,CMP-108,Holiday Gift Extravaganza,2024-08-13,Instagram,Seasonal Sale,Electronics,4K UltraHD Streamer Box,98805,2713,280.0,42,1538.08,5729.22,36.62,136.41
CUST-3298,39,Male,Dallas,South,Consumer Budget,CMP-105,SmartHome Hub Launch,2024-10-30,Instagram,Product Launch,Apparel,Premium Designer Denim Jacket,78213,2803,301.0,37,902.12,3106.89,24.38,83.97
CUST-1463,57,Male,Boston,North East,SMB,CMP-101,Q1 Brand Refresh,2024-09-01,Facebook,Brand Awareness,Home & Living,Adjustable Standing Desk,120252,3352,354.0,32,1747.66,13961.92,54.61,436.31
CUST-9003,46,Female,Dallas,South,Consumer Premium,CMP-106,Fall Hardware Promo,2024-03-22,Google Ads,Seasonal Sale,Home & Living,Adjustable Standing Desk,103129,4786,529.0,81,1862.75,36140.58,23.0,446.18
CUST-4820,27,Other,Minneapolis,Midwest,Consumer Premium,CMP-101,Q1 Brand Refresh,2024-04-15,Google Ads,Brand Awareness,Home & Living,Ergonomic Executive Chair,160905,6629,,98,2161.14,27387.08,22.05,279.46
CUST-1623,35,Male,Atlanta,South,Consumer Budget,CMP-112,VIP Customer Loyalty Drive,2025-05-05,Google Ads,Retargeting,Fitness,UltraFit Smartwatch 5,135563,5328,608.0,83,2180.03,12806.9,26.27,154.3
CUST-4109,48,Male,San Francisco,West,B2B Enterprise,CMP-109,Email Newsletter Nurture,2024-05-09,Facebook,Lead Generation,Software/SaaS,CyberSecurity Enterprise Suite,165115,4657,939.0,112,1572.93,127535.52,14.04,1138.71
CUST-2762,46,Female,Boston,North East,B2B Enterprise,CMP-112,VIP Customer Loyalty Drive,2024-09-04,Search,Retargeting,Software/SaaS,CloudAnalytics Pro SaaS,161962,7884,1019.0,173,2205.43,86868.49,12.75,502.13
CUST-8556,29,Male,Philadelphia,North East,,CMP-101,Q1 Brand Refresh,2024-08-03,Google Ads,Brand Awareness,Home & Living,Adjustable Standing Desk,138744,6225,786.0,108,1577.08,44963.64,14.6,416.33
