Record_ID,Customer_ID,Campaign_ID,Product_ID,Impressions,Clicks,Leads,Conversions,Marketing_Spend,Revenue,CTR,Conversion_Rate,Cost_Per_Acquisition,ROI
16,CUST-3163,CMP-111,PRD-03,60198,2877,273,48,1027.67,24554.88,4.779228545798864,17.582417582417584,21.409791666666667,2289.3740208432664
17,CUST-4839,CMP-107,PRD-04,20795,644,71,8,196.92,1232.0,3.0968982928588606,11.267605633802818,24.615,525.6347755433679
18,CUST-2744,CMP-112,PRD-05,123053,4726,708,50,2923.23,15280.0,3.8406215208081074,7.062146892655368,58.4646,422.70946863572146
19,CUST-8861,CMP-108,PRD-03,68821,4055,500,85,1201.64,46005.4,5.892096889030964,17.0,14.13694117647059,3728.5509803268865
20,CUST-4543,CMP-102,PRD-04,102810,5808,614,81,1861.08,11696.4,5.649255908958272,13.192182410423452,22.976296296296294,528.4737894125992
21,CUST-7032,CMP-108,PRD-04,242285,6127,521,57,2833.67,8948.43,2.5288400024764224,10.9404990403071,49.713508771929824,215.7894179632773
22,CUST-5284,CMP-109,PRD-03,111123,7426,1637,255,1933.25,118243.5,6.68268495271006,15.577275503970679,7.5813725490196076,6016.306737359369
23,CUST-5980,CMP-101,PRD-07,27302,719,59,7,423.12,3434.06,2.6335067028056556,11.864406779661017,60.44571428571429,711.6042730194744
24,CUST-7114,CMP-112,PRD-05,65066,3961,377,55,1431.81,16024.25,6.087664832631482,14.588859416445624,26.03290909090909,1019.1603634560453
25,CUST-9505,CMP-112,PRD-07,81279,4080,297,43,1476.03,20986.15,5.0197467980659205,14.47811447811448,34.326279069767445,1321.7969824461563
26,CUST-5989,CMP-105,PRD-01,48550,1384,111,16,813.65,2050.88,2.850669412976313,14.414414414414415,50.853125,152.05923923062744
27,CUST-7771,CMP-103,PRD-01,60207,1616,252,30,897.71,3802.2,2.6840732805155545,11.904761904761903,29.92366666666667,323.5443517394258
28,CUST-6078,CMP-114,PRD-07,26410,766,150,40,360.68,17390.8,2.9004165088981444,26.666666666666668,9.017,4721.670178551624
29,CUST-6924,CMP-110,PRD-02,102444,1024,98,7,1299.47,595.84,0.9995704970520479,7.142857142857142,185.63857142857142,-54.14746011835594
30,CUST-6138,CMP-105,PRD-04,113332,1799,215,19,2533.39,3036.96,1.5873716161366604,8.837209302325581,133.33631578947367,19.877318533664386
31,CUST-1943,CMP-112,PRD-05,64157,2655,277,33,1314.0,9105.69,4.138285767726047,11.913357400722022,39.81818181818182,592.9748858447489
32,CUST-5916,CMP-113,PRD-01,212118,9010,969,32,3098.32,4132.8,4.247635749912784,3.3023735810113517,96.8225,33.38841694853985
33,CUST-7544,CMP-105,PRD-08,54738,2285,178,30,634.07,5636.4,4.174430925499653,16.853932584269664,21.13566666666667,788.9239358430457
34,CUST-6018,CMP-106,PRD-05,218930,6539,842,77,2131.41,25168.22,2.9867994336089163,9.144893111638956,27.68064935064935,1080.8248999488603
35,CUST-3558,CMP-104,PRD-02,156713,6183,500,99,2176.47,8433.81,3.9454289050685007,19.8,21.98454545454545,287.49948310796844
36,CUST-3784,CMP-113,PRD-04,334079,3514,311,4,6590.14,557.08,1.0518470182202413,1.2861736334405145,1647.535,-91.54676531909793
37,CUST-1093,CMP-101,PRD-03,146729,5063,646,80,1354.45,40031.2,3.450578958488097,12.38390092879257,16.930625,2855.5317656613383
38,CUST-3326,CMP-107,PRD-02,92643,4383,511,90,1639.8,8349.3,4.731064408535993,17.61252446183953,18.22,409.1657519209659
39,CUST-8771,CMP-108,PRD-07,127963,6755,659,125,2454.65,55550.0,5.2788696732649285,18.968133535660094,19.6372,2163.0517589065653
40,CUST-4190,CMP-114,PRD-03,83633,4292,1015,325,774.29,169156.0,5.13194552389607,32.01970443349754,2.382430769230769,21746.594945046432
41,CUST-5969,CMP-105,PRD-05,112331,6920,614,83,1907.84,24080.79,6.160365348835139,13.517915309446254,22.986024096385542,1162.2017569607515
42,CUST-2593,CMP-101,PRD-04,26300,1893,165,33,655.64,5032.5,7.197718631178707,20.0,19.867878787878787,667.5706180220852
43,CUST-6630,CMP-109,PRD-01,138759,2184,526,52,2078.94,7035.08,1.573951959872873,9.885931558935361,39.979615384615386,238.39745254793306
44,CUST-6172,CMP-101,PRD-03,49872,2376,278,43,1081.29,20417.26,4.764196342637151,15.467625899280577,25.14627906976744,1788.2316492337854
45,CUST-8061,CMP-103,PRD-07,196562,9596,2000,310,1747.78,151230.4,4.881920208382088,15.5,5.638,8552.713728272436
46,CUST-6745,CMP-111,PRD-03,42521,622,44,5,996.26,2726.95,1.4628066132028879,11.363636363636363,199.252,173.71870796779956
47,CUST-7764,CMP-110,PRD-05,162353,6056,435,46,1985.16,13447.18,3.730143576034936,10.574712643678161,43.15565217391305,577.3851981704246
48,CUST-7352,CMP-106,PRD-08,89474,2090,242,27,1573.36,5279.04,2.3358741086796164,11.15702479338843,58.27259259259259,235.52651649972037
49,CUST-4198,CMP-108,PRD-05,95392,1054,118,8,2143.38,2584.0,1.1049144582354915,6.779661016949152,267.9225,20.55725069749647
50,CUST-2660,CMP-111,PRD-08,45131,1897,228,31,543.95,6769.16,4.203319226252465,13.596491228070176,17.546774193548387,1144.4452615130067
51,CUST-3486,CMP-114,PRD-02,58785,806,120,24,1203.46,2226.96,1.3710980692353492,20.0,50.14416666666667,85.04644940421784
52,CUST-8284,CMP-108,PRD-04,64214,2414,313,37,600.71,5235.87,3.759304824493101,11.821086261980831,16.235405405405405,771.613590584475
53,CUST-6411,CMP-112,PRD-07,127789,6502,625,83,2008.09,34892.37,5.08807487342416,13.28,24.193855421686745,1637.58994865768
54,CUST-5442,CMP-102,PRD-03,79809,3087,373,65,707.77,33582.9,3.867984813742811,17.426273458445042,10.888769230769231,4644.888876329882
55,CUST-3832,CMP-103,PRD-07,100902,3218,805,89,2413.04,40341.92,3.189233117282116,11.055900621118013,27.112808988764044,1571.829725159964
56,CUST-5417,CMP-102,PRD-04,260185,13419,1351,212,2320.21,30341.44,5.157484097853451,15.692079940784604,10.94438679245283,1207.7023200486162
57,CUST-1282,CMP-107,PRD-05,21337,536,40,4,514.14,1205.0,2.512068238271547,10.0,128.535,134.37196094448984
58,CUST-3163,CMP-109,PRD-07,75870,1415,235,26,1030.85,12012.78,1.8650322920785556,11.063829787234042,39.64807692307692,1065.327642236989
59,CUST-3970,CMP-106,PRD-03,9690,241,30,3,200.44,1480.92,2.4871001031991744,10.0,66.81333333333333,638.8345639592897
60,CUST-7687,CMP-108,PRD-05,203404,10374,1235,158,2382.79,49232.8,5.100194686436845,12.793522267206479,15.080949367088607,1966.182920022327
61,CUST-5976,CMP-109,PRD-04,158255,7140,1822,331,2305.55,48653.69,4.511705791286215,18.166849615806804,6.965407854984895,2010.2856151460603
62,CUST-8155,CMP-106,PRD-03,25764,483,45,4,630.65,1954.24,1.8747088961341407,8.88888888888889,157.6625,209.87711091730756
63,CUST-8598,CMP-105,PRD-04,89463,3382,309,46,1808.79,7229.82,3.780333769267742,14.886731391585762,39.32152173913043,299.70477501534174
64,CUST-9232,CMP-106,PRD-01,118266,2999,356,35,1682.46,4161.5,2.535809108281332,9.831460674157304,48.07028571428572,147.34614790247613
65,CUST-8975,CMP-102,PRD-02,136851,9754,730,139,1696.99,11655.15,7.1274597920365945,19.041095890410958,12.208561151079136,586.8131220572897
66,CUST-7920,CMP-101,PRD-07,221039,10998,895,120,2140.77,58513.2,4.975592542492501,13.40782122905028,17.83975,2633.278212979442
67,CUST-6139,CMP-106,PRD-03,156291,5169,370,45,2808.85,21851.1,3.3072921665355013,12.162162162162163,62.41888888888889,677.9375901169518
68,CUST-5948,CMP-112,PRD-03,234471,5914,587,67,2438.43,33758.62,2.5222735434232804,11.41396933560477,36.394477611940296,1284.4408082249647
69,CUST-9332,CMP-109,PRD-01,136365,7180,1134,167,2370.76,21244.07,5.265280680526528,14.726631393298058,14.19616766467066,796.0869088393594
70,CUST-3428,CMP-107,PRD-05,94619,911,76,4,1971.09,1206.24,0.9628087382026865,5.263157894736842,492.7725,-38.80340319315708
71,CUST-1763,CMP-114,PRD-04,23424,730,132,33,495.62,5288.58,3.11646174863388,25.0,15.01878787878788,967.0634760501997
72,CUST-7982,CMP-113,PRD-03,401697,10583,1587,25,4263.23,13246.5,2.634572824790825,1.5752993068683048,170.52919999999997,210.7151150653378
73,CUST-7018,CMP-112,PRD-04,139420,7970,702,130,1944.13,20147.4,5.71653995122651,18.51851851851852,14.954846153846155,936.3195876818937
74,CUST-1574,CMP-106,PRD-07,11620,276,34,4,256.0,1787.24,2.3752151462994835,11.76470588235294,64.0,598.140625
75,CUST-3544,CMP-112,PRD-03,126880,4785,456,79,1549.75,41188.23,3.771279949558638,17.324561403508774,19.617088607594937,2557.7338280367803
76,CUST-5157,CMP-107,PRD-06,21749,1211,101,13,326.96,16442.53,5.568072095268748,12.871287128712872,25.150769230769228,4928.9117934915585
77,CUST-6349,CMP-108,PRD-02,214853,10556,1072,156,2091.61,14412.84,4.913126649383532,14.55223880597015,13.407756410256411,589.0787479501437
78,CUST-8769,CMP-102,PRD-04,112486,3614,454,56,1560.26,8880.48,3.2128442650640974,12.334801762114537,27.861785714285713,469.166677348647
79,CUST-1957,CMP-101,PRD-04,37652,1081,132,19,935.72,3010.74,2.8710294273876555,14.393939393939394,49.24842105263158,221.7565083572008
80,CUST-4036,CMP-112,PRD-03,232120,4553,414,41,2367.33,18923.96,1.961485438566259,9.903381642512077,57.73975609756097,699.3798921147453
81,CUST-8837,CMP-104,PRD-03,260898,6033,618,57,3092.84,29691.87,2.3123979486236,9.223300970873787,54.260350877192984,860.0195936420894
82,CUST-5786,CMP-103,PRD-05,50005,1182,234,21,607.88,5665.59,2.3637636236376363,8.974358974358974,28.946666666666665,832.0244127130355
83,CUST-1238,CMP-105,PRD-01,166993,8368,614,117,2252.51,15789.15,5.010988484547257,19.055374592833875,19.252222222222223,600.958042361632
84,CUST-7573,CMP-107,PRD-05,43220,736,72,7,984.86,2212.56,1.7029153169828781,9.722222222222223,140.6942857142857,124.65731169912473
85,CUST-6529,CMP-108,PRD-03,112684,2017,149,14,1465.81,6927.62,1.789961307727805,9.395973154362416,104.70071428571428,372.61377668319903
86,CUST-9010,CMP-107,PRD-04,48313,1367,145,13,1032.45,1925.95,2.829466189224432,8.96551724137931,79.41923076923078,86.54172114872391
87,CUST-5038,CMP-105,PRD-01,120757,6253,609,108,2231.16,13991.4,5.178167725266444,17.733990147783253,20.65888888888889,527.0908406389502
88,CUST-5918,CMP-110,PRD-01,116875,1252,125,6,2078.63,772.26,1.071229946524064,4.8,346.43833333333333,-62.84764484299755
89,CUST-2993,CMP-102,PRD-04,24520,648,78,8,380.53,1185.12,2.6427406199021206,10.256410256410255,47.56625,211.43930833311435
90,CUST-3526,CMP-103,PRD-04,109228,4710,1084,139,1474.85,21330.94,4.312081151353133,12.822878228782288,10.610431654676258,1346.3125063565788
91,CUST-3532,CMP-105,PRD-03,71498,1642,156,21,1540.85,9684.15,2.296567736160452,13.461538461538462,73.37380952380951,528.494013044748
92,CUST-8285,CMP-106,PRD-04,53453,2277,221,37,972.81,5749.8,4.259817035526537,16.7420814479638,26.29216216216216,491.05066765349864
93,CUST-8227,CMP-106,PRD-07,60686,2994,386,72,1094.69,34789.68,4.933592591371981,18.65284974093264,15.204027777777778,3078.0394449570194
94,CUST-9787,CMP-109,PRD-02,73485,5210,1302,195,1082.5,18330.0,7.089882288902497,14.976958525345621,5.551282051282051,1593.3025404157045
95,CUST-1464,CMP-102,PRD-04,21012,235,28,1,328.87,140.39,1.1184085284599277,3.571428571428571,328.87,-57.311399641195614
96,CUST-7352,CMP-114,PRD-07,33387,1570,249,94,774.35,41757.62,4.702429089166442,37.75100401606426,8.23776595744681,5292.602828178472
97,CUST-1195,CMP-114,PRD-08,33089,992,168,41,780.6,8930.21,2.9979751579074616,24.404761904761905,19.039024390243902,1044.0187035613628
98,CUST-2436,CMP-106,PRD-08,72044,2128,200,18,1232.18,3888.72,2.9537504858142247,9.0,68.45444444444445,215.59674722848933
99,CUST-5247,CMP-111,PRD-03,118656,5673,563,100,2287.99,53024.0,4.7810477346278315,17.761989342806395,22.8799,2217.4926463839442
100,CUST-2380,CMP-109,PRD-05,318356,5864,1195,113,3234.65,33168.89,1.8419630853509907,9.456066945606695,28.625221238938053,925.4243890374537
101,CUST-5600,CMP-104,PRD-03,82848,4286,419,84,1702.83,39717.72,5.173329470838162,20.047732696897373,20.271785714285713,2232.453621324501
102,CUST-9856,CMP-109,PRD-04,192680,5351,1078,127,2021.41,17688.56,2.7771434502802577,11.781076066790352,15.916614173228346,775.0604775874266
103,CUST-1435,CMP-104,PRD-04,164493,4504,448,58,1714.28,9479.52,2.7381104363103597,12.946428571428573,29.55655172413793,452.97384324614416
104,CUST-2749,CMP-109,PRD-07,48614,1232,203,19,621.54,8989.66,2.5342493931789196,9.35960591133005,32.71263157894737,1346.3526080380989
105,CUST-7726,CMP-101,PRD-05,49276,2365,288,49,1183.57,15527.12,4.799496712395487,17.01388888888889,24.154489795918366,1211.8886081938542
106,CUST-3412,CMP-101,PRD-06,35802,2026,220,30,615.52,33797.7,5.65890173733311,13.636363636363635,20.517333333333333,5390.9182479854435
107,CUST-6424,CMP-113,PRD-06,168617,5602,576,19,3601.36,23591.16,3.3223221857819794,3.298611111111111,189.54526315789474,555.062531932381
108,CUST-9144,CMP-108,PRD-03,83918,3638,426,63,1397.14,30215.43,4.335184346624085,14.788732394366196,22.1768253968254,2062.6630115808007
109,CUST-2164,CMP-112,PRD-02,51439,1711,166,21,984.4,1934.52,3.326269950815529,12.650602409638553,46.87619047619047,96.51767574156848
110,CUST-3856,CMP-103,PRD-08,27616,1484,290,40,606.79,8646.8,5.37369640787949,13.793103448275861,15.169749999999999,1325.007004070601
111,CUST-1953,CMP-108,PRD-01,98805,2713,280,42,1538.08,5729.22,2.74581245888366,15.0,36.62095238095238,272.4916779361282
112,CUST-3298,CMP-105,PRD-02,78213,2803,301,37,902.12,3106.89,3.5838032040709344,12.29235880398671,24.381621621621623,244.398749612025
113,CUST-1463,CMP-101,PRD-07,120252,3352,354,32,1747.66,13961.92,2.7874796261184844,9.03954802259887,54.614375,698.8922330430404
114,CUST-9003,CMP-106,PRD-07,103129,4786,529,81,1862.75,36140.58,4.640789690581699,15.311909262759924,22.996913580246915,1840.1733995436857
115,CUST-4820,CMP-101,PRD-05,160905,6629,994,98,2161.14,27387.08,4.119822255368074,9.859154929577464,22.052448979591837,1167.2515431670324
116,CUST-1623,CMP-112,PRD-04,135563,5328,608,83,2180.03,12806.9,3.9302759602546415,13.651315789473683,26.26542168674699,487.4643926918436
117,CUST-4109,CMP-109,PRD-06,165115,4657,939,112,1572.93,127535.52,2.820458468340248,11.92758253461129,14.044017857142858,8008.149758730522
118,CUST-2762,CMP-112,PRD-03,161962,7884,1019,173,2205.43,86868.49,4.8678084982897225,16.977428851815503,12.74815028901734,3838.845939340629
119,CUST-8556,CMP-101,PRD-07,138744,6225,786,108,1577.08,44963.64,4.486680505102923,13.740458015267176,14.602592592592591,2751.0690643467674
120,CUST-3253,CMP-109,PRD-04,97950,2992,607,81,1587.3,12616.56,3.0546197039305767,13.344316309719934,19.596296296296295,694.844074844075
121,CUST-5871,CMP-110,PRD-06,135282,4654,698,81,2461.36,87814.53,3.4402211676350145,11.60458452722063,30.387160493827164,3467.7239412357394
122,CUST-2863,CMP-105,PRD-05,37926,1165,140,16,683.33,4926.4,3.0717713441965935,11.428571428571429,42.708125,620.9401021468396
123,CUST-6252,CMP-103,PRD-08,269995,3770,935,60,3472.73,12040.8,1.396322154113965,6.417112299465241,57.87883333333333,246.72433503324473
124,CUST-4046,CMP-101,PRD-07,150547,6031,704,91,2143.44,44658.25,4.006057908825815,12.926136363636365,23.554285714285715,1983.4849587578844
125,CUST-8807,CMP-114,PRD-05,48375,1311,204,55,639.34,14934.7,2.710077519379845,26.96078431372549,11.624363636363636,2235.9558294491194
126,CUST-7795,CMP-103,PRD-07,46393,649,97,8,888.46,3530.08,1.3989179402064966,8.24742268041237,111.0575,297.32570965490845
127,CUST-3179,CMP-106,PRD-05,8997,244,18,2,182.61,630.6,2.712015116149828,11.11111111111111,91.305,245.32610481353703
128,CUST-5503,CMP-113,PRD-03,146345,4726,365,10,2010.12,4719.4,3.2293552905804774,2.73972602739726,201.012,134.78200306449367
129,CUST-4175,CMP-114,PRD-05,179505,6215,1457,432,1754.17,119158.56,3.4622991003036128,29.64996568291009,4.060578703703704,6692.874122804516
130,CUST-3031,CMP-105,PRD-02,65113,2444,313,33,1551.16,2737.68,3.753474728548831,10.543130990415335,47.00484848484849,76.4924314706413
131,CUST-1355,CMP-112,PRD-02,125010,5778,613,84,2005.51,7197.12,4.622030237580994,13.70309951060359,23.875119047619048,258.8673205319345
132,CUST-4938,CMP-107,PRD-03,109489,5460,497,95,2488.59,52035.3,4.986802327174419,19.114688128772634,26.195684210526316,1990.955119163864
133,CUST-5951,CMP-102,PRD-03,140119,4634,370,37,2866.21,17188.35,3.3071888894439723,10.0,77.46513513513514,499.68913652523713
134,CUST-4305,CMP-103,PRD-01,32911,1867,456,72,332.87,10161.36,5.672875330436632,15.789473684210526,4.623194444444445,2952.6511851473547
135,CUST-1777,CMP-107,PRD-05,65668,2221,278,40,1015.21,12784.0,3.382164829140525,14.388489208633093,25.38025,1159.2468553304243
136,CUST-5033,CMP-105,PRD-07,101967,4885,531,79,2390.14,33165.78,4.790765639863878,14.87758945386064,30.254936708860757,1287.608257256897
137,CUST-9238,CMP-109,PRD-03,81819,3674,784,109,1126.15,56688.72,4.49039954044904,13.903061224489797,10.33165137614679,4933.85161834569
138,CUST-8086,CMP-105,PRD-02,207129,8095,786,115,1744.95,10615.65,3.9081924790830835,14.631043256997456,15.173478260869565,508.36413650820936
139,CUST-8120,CMP-110,PRD-05,35179,978,121,18,757.65,5237.28,2.780067653998124,14.87603305785124,42.09166666666667,591.2532171847159
140,CUST-4460,CMP-110,PRD-04,63680,3144,249,39,1480.21,5786.04,4.937185929648241,15.66265060240964,37.95410256410256,290.89318407523257
141,CUST-5284,CMP-113,PRD-01,289792,11871,1376,51,5903.95,7092.06,4.096386373674911,3.7063953488372094,115.76372549019608,20.123984789844098
142,CUST-6130,CMP-108,PRD-07,11270,598,53,8,275.03,3868.24,5.3061224489795915,15.09433962264151,34.37875,1306.4792931680183
143,CUST-8206,CMP-105,PRD-04,126153,6592,463,89,2215.75,12046.15,5.225400902079222,19.222462203023756,24.896067415730336,443.6601602166309
144,CUST-8263,CMP-113,PRD-07,222468,5853,620,14,2043.82,5910.24,2.630940180160742,2.258064516129032,145.98714285714286,189.17615054163284
145,CUST-2611,CMP-108,PRD-08,6228,78,11,0,154.76,0.0,1.2524084778420037,0.0,0.0,-100.0
146,CUST-5791,CMP-114,PRD-03,25096,1176,229,90,514.62,42087.6,4.68600573796621,39.30131004366812,5.718,8078.384050367261
147,CUST-2369,CMP-108,PRD-04,40395,1102,80,9,815.41,1362.6,2.7280604035152867,11.25,90.60111111111111,67.10611839442734
148,CUST-7633,CMP-102,PRD-02,137756,4693,584,63,2071.69,5674.41,3.4067481634193792,10.787671232876713,32.883968253968256,173.90246610255394
149,CUST-4016,CMP-107,PRD-08,8536,315,35,4,169.46,869.76,3.690253045923149,11.428571428571429,42.365,413.2538652189306
150,CUST-2001,CMP-105,PRD-01,24900,1161,98,11,231.05,1298.88,4.662650602409638,11.224489795918368,21.004545454545454,462.1640337589267
151,CUST-7379,CMP-110,PRD-04,40152,2311,269,37,478.6,4969.1,5.755628611277147,13.754646840148698,12.935135135135136,938.2574174676139
152,CUST-2026,CMP-102,PRD-03,78846,2565,207,20,1251.06,9197.8,3.2531770793699106,9.66183574879227,62.553,635.2005499336562
153,CUST-6126,CMP-103,PRD-04,79838,5122,967,187,1802.29,26312.77,6.4154913700242995,19.33815925542916,9.637914438502674,1359.9631579823447
154,CUST-3901,CMP-101,PRD-04,106575,5411,634,94,1516.32,13542.58,5.077175697865353,14.826498422712934,16.131063829787234,793.1215046955789
155,CUST-7071,CMP-114,PRD-07,31153,1173,243,65,386.77,31978.05,3.765287452251789,26.74897119341564,5.950307692307692,8167.975799570804
156,CUST-5004,CMP-112,PRD-05,45726,1804,208,25,500.32,8218.5,3.945239032497922,12.01923076923077,20.0128,1542.6487048289096
157,CUST-4745,CMP-108,PRD-06,99245,6712,796,118,2157.49,144266.8,6.763061111391003,14.824120603015075,18.28381355932203,6586.788814780138
158,CUST-1309,CMP-106,PRD-06,13429,202,15,1,225.5,1137.99,1.5042073125325788,6.666666666666667,225.5,404.6518847006652
159,CUST-2133,CMP-111,PRD-02,48603,1422,143,17,689.28,1561.96,2.9257453243626936,11.888111888111888,40.54588235294118,126.60747446610958
160,CUST-6632,CMP-103,PRD-07,100612,4441,947,143,2252.64,62519.6,4.41398640321234,15.100316789862726,15.752727272727272,2675.3924284395202
161,CUST-7070,CMP-105,PRD-04,29867,1077,99,11,547.34,1672.55,3.6059865403287907,11.11111111111111,49.75818181818182,205.5778857748383
162,CUST-7436,CMP-105,PRD-04,173727,10763,929,180,2551.01,26665.2,6.195352478313676,19.3756727664155,14.17227777777778,945.2801047428273
163,CUST-3406,CMP-102,PRD-03,160667,7822,933,125,3179.98,59448.75,4.868454629762179,13.39764201500536,25.43984,1769.469304838395
164,CUST-8605,CMP-106,PRD-05,20218,552,46,6,409.98,1815.9,2.730240379859531,13.043478260869565,68.33,342.9240450753695
165,CUST-2861,CMP-104,PRD-05,139829,3244,404,54,2625.46,14782.5,2.3199765427772494,13.366336633663368,48.61962962962963,463.0441903514051
166,CUST-7026,CMP-105,PRD-02,112300,3164,303,38,2235.36,3081.04,2.817453250222618,12.541254125412541,58.82526315789474,37.83193758499748
167,CUST-2961,CMP-102,PRD-02,97463,5334,441,74,1730.88,6577.86,5.472846105701651,16.780045351473923,23.39027027027027,280.02981142540204
168,CUST-4957,CMP-106,PRD-05,82664,4576,553,94,1941.02,27769.48,5.535662440723894,16.998191681735985,20.649148936170214,1330.664289909429
169,CUST-1013,CMP-110,PRD-03,63521,3550,433,78,609.19,42682.38,5.588702948631162,18.013856812933028,7.810128205128206,6906.415075756331
170,CUST-8291,CMP-114,PRD-04,16019,598,144,47,314.22,6975.74,3.7330669829577374,32.63888888888889,6.685531914893618,2120.017821908217
171,CUST-4016,CMP-102,PRD-03,157963,4185,359,52,2432.43,26246.48,2.6493545956964604,14.484679665738161,46.777499999999996,979.0230345785902
172,CUST-9104,CMP-105,PRD-07,140411,9059,767,125,2871.57,55800.0,6.451773721432081,16.297262059973924,22.97256,1843.1878728361137
173,CUST-1448,CMP-107,PRD-07,24116,646,77,10,506.8,4725.9,2.6787195223088407,12.987012987012985,50.68,832.4980268350433
174,CUST-7395,CMP-102,PRD-07,110693,3121,329,41,1776.97,16938.33,2.8195098154354836,12.462006079027356,43.340731707317076,853.2141791926708
175,CUST-7202,CMP-114,PRD-05,106918,1032,192,31,1089.64,8768.66,0.965225686975065,16.145833333333336,35.149677419354845,704.730002569656
176,CUST-4581,CMP-102,PRD-04,187073,7738,926,119,2064.31,16624.3,4.136353188327551,12.85097192224622,17.347142857142856,705.3199374125011
177,CUST-8341,CMP-101,PRD-03,131383,1650,144,10,2136.93,5093.1,1.2558702419643333,6.944444444444445,213.69299999999998,138.33724080807517
178,CUST-9096,CMP-103,PRD-02,26153,1241,281,34,514.61,3136.5,4.745153519672695,12.099644128113878,15.135588235294119,509.4906822642389
179,CUST-9910,CMP-105,PRD-03,30174,710,51,4,707.81,1927.36,2.353019155564393,7.8431372549019605,176.9525,172.2990633079499
180,CUST-7452,CMP-104,PRD-05,33593,1536,131,21,806.01,5925.99,4.572381150834995,16.030534351145036,38.38142857142857,635.2253694122902
181,CUST-3696,CMP-109,PRD-07,125047,3651,761,96,1812.12,47433.6,2.919702191975817,12.614980289093298,18.87625,2517.574995033441
182,CUST-5439,CMP-106,PRD-01,93179,5602,682,129,2027.94,18087.09,6.012084267914444,18.914956011730204,15.72046511627907,791.8947306133317
183,CUST-8145,CMP-109,PRD-06,71340,2340,458,48,1572.15,59673.12,3.280067283431455,10.480349344978166,32.753125000000004,3695.637820818624
184,CUST-8872,CMP-105,PRD-08,100865,4462,563,70,1824.33,14737.1,4.423734694889209,12.433392539964476,26.061857142857143,707.808894224181
185,CUST-3284,CMP-105,PRD-08,179725,4692,443,57,2226.27,10930.32,2.610655167617193,12.866817155756207,39.05736842105263,390.9700979665539
186,CUST-9459,CMP-114,PRD-01,39797,560,108,15,538.59,1915.35,1.407141241802146,13.88888888888889,35.906,255.6230156519801
187,CUST-7508,CMP-104,PRD-06,201044,13343,1283,203,2381.67,200622.04204999993,6.636855613696505,15.822291504286829,11.732364532019705,8323.586897009238
188,CUST-8085,CMP-113,PRD-01,304962,16781,1588,63,5070.03,7481.88,5.502652789527875,3.9672544080604535,80.47666666666666,47.570724433583244
189,CUST-5513,CMP-114,PRD-03,77001,1772,387,94,661.96,43057.64,2.3012688146907183,24.289405684754524,7.042127659574469,6404.568251858117
190,CUST-7040,CMP-114,PRD-07,32909,1879,320,131,656.4,58475.78,5.709684280895804,40.9375,5.010687022900763,8808.558805606337
191,CUST-4001,CMP-104,PRD-02,135089,5558,662,102,1904.43,8435.4,4.114324630428828,15.407854984894259,18.670882352941177,342.93568154250875
