Customer_ID,Customer_Age,Age_Group,Gender,City,Region,Customer_Segment
CUST-7920,56,51-65,Male,San Francisco,West,SMB
CUST-6139,37,36-50,Female,Philadelphia,North East,SMB
CUST-5948,42,36-50,Female,Philadelphia,North East,SMB
CUST-9332,20,18-25,Female,Chicago,Midwest,Consumer Budget
CUST-3428,23,18-25,Female,Dallas,South,SMB
CUST-1763,36,36-50,Female,Los Angeles,West,SMB
CUST-7982,35,26-35,Non-Binary,Los Angeles,West,SMB
CUST-7018,38,36-50,Female,Detroit,Midwest,Consumer Premium
CUST-1574,24,18-25,Female,Dallas,South,SMB
CUST-3544,18,18-25,Female,Miami,South,SMB
CUST-5157,47,36-50,Male,Dallas,South,B2B Enterprise
CUST-6349,50,36-50,Male,Atlanta,South,Consumer Budget
CUST-8769,34,26-35,Female,Seattle,West,Consumer Budget
CUST-1957,31,26-35,Female,Miami,South,Consumer Budget
CUST-4036,31,26-35,Male,Atlanta,South,SMB
CUST-8837,56,51-65,Other,Miami,South,B2B Enterprise
CUST-5786,40,36-50,Female,Boston,North East,SMB
CUST-1238,35,26-35,Female,Philadelphia,North East,Consumer Budget
CUST-7573,32,26-35,Female,Chicago,Midwest,Consumer Premium
CUST-6529,37,36-50,Female,San Francisco,West,SMB
CUST-9010,54,51-65,Female,Philadelphia,North East,Consumer Premium
CUST-5038,48,36-50,Female,Atlanta,South,Consumer Budget
CUST-5918,33,26-35,Female,New York,North East,Consumer Budget
CUST-2993,47,36-50,Male,Los Angeles,West,Consumer Premium
CUST-3526,18,18-25,Male,Chicago,Midwest,Consumer Premium
CUST-3532,35,26-35,Male,Chicago,Midwest,B2B Enterprise
CUST-8285,23,18-25,Female,New York,North East,Consumer Budget
CUST-8227,47,36-50,Female,Seattle,West,Consumer Premium
CUST-9787,27,26-35,Male,Boston,North East,Consumer Budget
CUST-1464,42,36-50,Male,Minneapolis,Midwest,Consumer Budget
CUST-1195,32,26-35,Female,San Francisco,West,Consumer Premium
CUST-2436,18,18-25,Male,Minneapolis,Midwest,Consumer Premium
CUST-5247,53,51-65,Female,Minneapolis,Midwest,B2B Enterprise
CUST-2380,38,36-50,Male,San Francisco,West,SMB
CUST-5600,28,26-35,Male,Dallas,South,B2B Enterprise
CUST-9856,18,18-25,Female,New York,North East,Consumer Premium
CUST-1435,65,51-65,Female,Los Angeles,West,Consumer Budget
CUST-2749,50,36-50,Non-Binary,Los Angeles,West,Consumer Premium
CUST-7726,44,36-50,Female,Los Angeles,West,Consumer Premium
CUST-3412,47,36-50,Male,Seattle,West,B2B Enterprise
CUST-6424,45,36-50,Female,San Francisco,West,B2B Enterprise
CUST-9144,18,18-25,Non-Binary,Chicago,Midwest,SMB
CUST-2164,25,18-25,Male,Dallas,South,Consumer Budget
CUST-3856,33,26-35,Male,Minneapolis,Midwest,Consumer Premium
CUST-1953,43,36-50,Female,Minneapolis,Midwest,Consumer Budget
CUST-3298,39,36-50,Male,Dallas,South,Consumer Budget
CUST-1463,57,51-65,Male,Boston,North East,SMB
CUST-9003,46,36-50,Female,Dallas,South,Consumer Premium
CUST-4820,27,26-35,Other,Minneapolis,Midwest,Consumer Premium
CUST-1623,35,26-35,Male,Atlanta,South,Consumer Budget
CUST-4109,48,36-50,Male,San Francisco,West,B2B Enterprise
CUST-2762,46,36-50,Female,Boston,North East,B2B Enterprise
CUST-8556,29,26-35,Male,Philadelphia,North East,SMB
CUST-3253,36,36-50,Female,Boston,North East,Consumer Budget
CUST-5871,53,51-65,Female,Seattle,West,B2B Enterprise
CUST-2863,45,36-50,Non-Binary,Los Angeles,West,Consumer Premium
CUST-6252,27,26-35,Male,San Francisco,West,Consumer Premium
CUST-4046,34,26-35,Male,Boston,North East,Consumer Premium
CUST-8807,25,18-25,Male,Miami,South,SMB
CUST-7795,44,36-50,Female,Chicago,Midwest,Consumer Premium
CUST-3179,22,18-25,Female,Detroit,Midwest,SMB
CUST-5503,45,36-50,Male,Los Angeles,West,B2B Enterprise
CUST-4175,50,36-50,Female,Boston,North East,SMB
CUST-3031,22,18-25,Female,Boston,North East,Consumer Budget
CUST-1355,28,26-35,Male,Detroit,Midwest,Consumer Budget
CUST-4938,31,26-35,Male,Philadelphia,North East,B2B Enterprise
CUST-5951,21,18-25,Female,New York,North East,B2B Enterprise
CUST-4305,28,26-35,Female,Philadelphia,North East,Consumer Budget
CUST-1777,21,18-25,Male,Atlanta,South,Consumer Premium
CUST-5033,26,26-35,Male,Minneapolis,Midwest,Consumer Premium
CUST-9238,25,18-25,Female,San Francisco,West,SMB
CUST-8086,38,36-50,Male,San Francisco,West,Consumer Budget
CUST-8120,27,26-35,Female,Miami,South,Consumer Premium
CUST-4460,34,26-35,Female,Detroit,Midwest,Consumer Budget
CUST-6130,28,26-35,Male,Atlanta,South,Consumer Premium
CUST-8206,36,36-50,Female,Los Angeles,West,Consumer Budget
CUST-8263,22,18-25,Female,Boston,North East,SMB
CUST-2611,49,36-50,Female,Atlanta,South,Consumer Premium
CUST-5791,49,36-50,Female,Detroit,Midwest,B2B Enterprise
CUST-2369,26,26-35,Female,Boston,North East,Consumer Budget
CUST-7633,41,36-50,Male,Los Angeles,West,Consumer Budget
CUST-4016,37,36-50,Female,Atlanta,South,Consumer Premium
CUST-2001,40,36-50,Female,Atlanta,South,Consumer Budget
CUST-7379,22,18-25,Female,Minneapolis,Midwest,Consumer Budget
CUST-2026,36,36-50,Male,Detroit,Midwest,SMB
CUST-6126,54,51-65,Female,Philadelphia,North East,Consumer Budget
CUST-3901,41,36-50,Male,Seattle,West,Consumer Budget
CUST-7071,31,26-35,Male,New York,North East,SMB
CUST-5004,43,36-50,Non-Binary,Miami,South,SMB
CUST-4745,45,36-50,Female,New York,North East,B2B Enterprise
CUST-1309,54,51-65,Non-Binary,Atlanta,South,B2B Enterprise
CUST-2133,36,36-50,Male,Miami,South,Consumer Budget
CUST-6632,29,26-35,Female,Boston,North East,Consumer Premium
CUST-7070,46,36-50,Male,Miami,South,Consumer Premium
CUST-7436,30,26-35,Other,Boston,North East,Consumer Budget
CUST-3406,32,26-35,Male,Los Angeles,West,SMB
CUST-8605,34,26-35,Female,Boston,North East,Consumer Premium
CUST-2861,40,36-50,Male,San Francisco,West,Consumer Premium
CUST-7026,32,26-35,Female,New York,North East,Consumer Budget
CUST-2961,45,36-50,Female,Detroit,Midwest,SMB
CUST-4957,52,51-65,Male,Los Angeles,West,SMB
CUST-1013,36,36-50,Female,Boston,North East,SMB
CUST-8291,21,18-25,Female,Miami,South,SMB
CUST-9104,30,26-35,Male,New York,North East,SMB
CUST-1448,18,18-25,Male,Seattle,West,SMB
CUST-7395,62,51-65,Male,Detroit,Midwest,SMB
CUST-7202,61,51-65,Female,New York,North East,Consumer Premium
CUST-4581,50,36-50,Female,New York,North East,Consumer Budget
CUST-8341,32,26-35,Male,Dallas,South,B2B Enterprise
CUST-9096,35,26-35,Female,Seattle,West,Consumer Budget
CUST-9910,41,36-50,Male,Atlanta,South,B2B Enterprise
CUST-7452,54,51-65,Male,Detroit,Midwest,SMB
CUST-3696,49,36-50,Non-Binary,Los Angeles,West,SMB
CUST-5439,39,36-50,Male,Los Angeles,West,Consumer Budget
CUST-8145,18,18-25,Female,Boston,North East,B2B Enterprise
CUST-8872,30,26-35,Female,Minneapolis,Midwest,SMB
CUST-3284,32,26-35,Male,Boston,North East,Consumer Premium
CUST-9459,48,36-50,Female,Minneapolis,Midwest,Consumer Budget
CUST-7508,38,36-50,Male,San Francisco,West,B2B Enterprise
CUST-8085,26,26-35,Female,San Francisco,West,Consumer Budget
CUST-5513,23,18-25,Male,Philadelphia,North East,SMB
CUST-7040,61,51-65,Male,Detroit,Midwest,SMB
CUST-4001,33,26-35,Female,New York,North East,Consumer Budget
CUST-1481,42,36-50,Female,Detroit,Midwest,SMB
CUST-7307,37,36-50,Female,Detroit,Midwest,Consumer Budget
CUST-2177,30,26-35,Male,Seattle,West,B2B Enterprise
CUST-5867,41,36-50,Male,Dallas,South,Consumer Premium
CUST-4518,25,18-25,Male,Minneapolis,Midwest,Consumer Premium
CUST-6485,18,18-25,Female,Boston,North East,B2B Enterprise
CUST-2361,47,36-50,Female,Detroit,Midwest,Consumer Budget
CUST-7665,31,26-35,Female,Philadelphia,North East,Consumer Premium
CUST-2827,40,36-50,Female,Dallas,South,Consumer Budget
CUST-4378,31,26-35,Male,Minneapolis,Midwest,Consumer Budget
CUST-8857,41,36-50,Female,Boston,North East,Consumer Budget
CUST-7256,57,51-65,Female,Minneapolis,Midwest,Consumer Budget
CUST-2909,44,36-50,Female,Los Angeles,West,SMB
CUST-3134,59,51-65,Female,Detroit,Midwest,Consumer Premium
CUST-2906,26,26-35,Male,Atlanta,South,Consumer Budget
CUST-4986,30,26-35,Non-Binary,San Francisco,West,Consumer Premium
CUST-6683,26,26-35,Male,Minneapolis,Midwest,SMB
CUST-1853,48,36-50,Female,Philadelphia,North East,SMB
CUST-8166,27,26-35,Male,Minneapolis,Midwest,B2B Enterprise
CUST-2393,48,36-50,Male,Seattle,West,SMB
CUST-2694,33,26-35,Female,Chicago,Midwest,SMB
CUST-5937,58,51-65,Female,San Francisco,West,SMB
CUST-7840,41,36-50,Female,Minneapolis,Midwest,SMB
CUST-3088,28,26-35,Female,New York,North East,Consumer Budget
CUST-7077,25,18-25,Female,Detroit,Midwest,Consumer Premium
CUST-2146,30,26-35,Female,Atlanta,South,Consumer Premium
CUST-8380,34,26-35,Male,Dallas,South,Consumer Premium
CUST-8001,32,26-35,Male,Boston,North East,SMB
CUST-1296,52,51-65,Male,Minneapolis,Midwest,Consumer Budget
CUST-7042,29,26-35,Female,Miami,South,SMB
CUST-8773,30,26-35,Male,San Francisco,West,B2B Enterprise
CUST-8981,28,26-35,Female,Detroit,Midwest,Consumer Premium
CUST-6560,54,51-65,Male,Minneapolis,Midwest,SMB
CUST-5271,49,36-50,Female,Atlanta,South,SMB
CUST-8664,26,26-35,Male,Boston,North East,Consumer Budget
CUST-6144,25,18-25,Male,San Francisco,West,SMB
CUST-8833,37,36-50,Female,Detroit,Midwest,SMB
CUST-9597,23,18-25,Female,Dallas,South,Consumer Budget
CUST-4090,25,18-25,Female,Philadelphia,North East,SMB
CUST-9712,24,18-25,Female,Seattle,West,Consumer Premium
CUST-2107,57,51-65,Male,Miami,South,SMB
CUST-4848,53,51-65,Male,Dallas,South,Consumer Premium
CUST-9565,39,36-50,Male,Miami,South,Consumer Budget
CUST-8668,40,36-50,Male,Atlanta,South,SMB
CUST-5959,40,36-50,Male,San Francisco,West,SMB
CUST-7290,32,26-35,Male,Minneapolis,Midwest,Consumer Premium
CUST-3139,31,26-35,Female,San Francisco,West,Consumer Budget
CUST-9131,32,26-35,Female,Los Angeles,West,Consumer Premium
CUST-8349,56,51-65,Female,Los Angeles,West,Consumer Budget
CUST-3377,40,36-50,Male,Minneapolis,Midwest,SMB
CUST-7498,23,18-25,Female,Los Angeles,West,Consumer Premium
CUST-7584,40,36-50,Female,Los Angeles,West,Consumer Premium
CUST-9210,39,36-50,Female,Detroit,Midwest,SMB
CUST-4857,35,26-35,Female,Minneapolis,Midwest,Consumer Premium
CUST-3687,34,26-35,Female,Philadelphia,North East,Consumer Premium
CUST-3010,43,36-50,Male,Los Angeles,West,SMB
CUST-7139,27,26-35,Female,Dallas,South,SMB
CUST-6101,36,36-50,Female,Atlanta,South,SMB
CUST-4048,37,36-50,Male,New York,North East,Consumer Budget
CUST-1094,38,36-50,Female,Miami,South,SMB
CUST-6065,45,36-50,Male,Dallas,South,B2B Enterprise
CUST-5516,31,26-35,Male,Los Angeles,West,Consumer Budget
CUST-1685,27,26-35,Female,Boston,North East,Consumer Budget
CUST-6003,19,18-25,Male,New York,North East,Consumer Budget
CUST-9664,40,36-50,Male,San Francisco,West,SMB
CUST-3690,39,36-50,Male,Miami,South,Consumer Budget
CUST-5363,18,18-25,Other,San Francisco,West,Consumer Premium
CUST-8967,29,26-35,Male,New York,North East,Consumer Budget
CUST-7603,38,36-50,Male,Minneapolis,Midwest,Consumer Budget
CUST-9810,43,36-50,Male,Minneapolis,Midwest,SMB
CUST-5723,45,36-50,Male,Atlanta,South,Consumer Premium
CUST-6793,27,26-35,Non-Binary,Seattle,West,SMB
CUST-8078,18,18-25,Female,Los Angeles,West,SMB
CUST-9019,18,18-25,Male,Philadelphia,North East,Consumer Budget
CUST-7717,61,51-65,Male,Seattle,West,Consumer Budget
CUST-5771,41,36-50,Female,Chicago,Midwest,Consumer Budget
CUST-9107,50,36-50,Female,Chicago,Midwest,Consumer Budget
CUST-2484,47,36-50,Male,Los Angeles,West,Consumer Premium
CUST-2402,45,36-50,Male,San Francisco,West,Consumer Budget
CUST-6781,54,51-65,Non-Binary,Boston,North East,B2B Enterprise
CUST-3068,59,51-65,Male,Minneapolis,Midwest,SMB
CUST-4228,25,18-25,Male,Chicago,Midwest,Consumer Budget
CUST-3663,49,36-50,Female,Philadelphia,North East,Consumer Budget
CUST-1343,47,36-50,Male,San Francisco,West,SMB
CUST-7965,32,26-35,Male,Seattle,West,Consumer Budget
CUST-2093,49,36-50,Female,Minneapolis,Midwest,Consumer Premium
CUST-1387,18,18-25,Female,Dallas,South,SMB
CUST-7766,49,36-50,Male,Philadelphia,North East,B2B Enterprise
CUST-9229,33,26-35,Female,Los Angeles,West,Consumer Budget
CUST-4131,56,51-65,Female,San Francisco,West,SMB
CUST-8850,36,36-50,Male,Dallas,South,Consumer Budget
CUST-5685,66,65+,Male,Philadelphia,North East,Consumer Budget
CUST-3792,18,18-25,Male,Atlanta,South,Consumer Budget
CUST-3579,27,26-35,Male,Detroit,Midwest,Consumer Premium
CUST-9651,50,36-50,Male,San Francisco,West,Consumer Premium
CUST-4750,42,36-50,Male,San Francisco,West,B2B Enterprise
CUST-9296,34,26-35,Male,San Francisco,West,SMB
CUST-7620,18,18-25,Female,Boston,North East,Consumer Budget
CUST-7858,34,26-35,Male,Minneapolis,Midwest,Consumer Budget
CUST-2797,45,36-50,Male,Chicago,Midwest,SMB
CUST-2404,43,36-50,Male,Seattle,West,SMB
CUST-2528,50,36-50,Male,Boston,North East,Consumer Budget
CUST-9301,58,51-65,Female,Philadelphia,North East,Consumer Budget
CUST-1384,32,26-35,Male,Miami,South,B2B Enterprise
CUST-3963,38,36-50,Female,Chicago,Midwest,SMB
CUST-4493,55,51-65,Male,Chicago,Midwest,Consumer Premium
CUST-9607,48,36-50,Male,Boston,North East,Consumer Budget
CUST-7528,30,26-35,Male,New York,North East,SMB
CUST-7905,39,36-50,Male,San Francisco,West,Consumer Budget
CUST-8597,50,36-50,Female,Los Angeles,West,Consumer Budget
CUST-1255,40,36-50,Female,Detroit,Midwest,Consumer Budget
CUST-8903,18,18-25,Female,Boston,North East,Consumer Budget
CUST-1745,30,26-35,Male,Los Angeles,West,Consumer Premium
CUST-1470,33,26-35,Female,Minneapolis,Midwest,SMB
CUST-6869,25,18-25,Non-Binary,Minneapolis,Midwest,SMB
CUST-8963,55,51-65,Male,Los Angeles,West,Consumer Budget
CUST-1658,47,36-50,Male,Miami,South,Consumer Budget
CUST-8589,35,26-35,Female,San Francisco,West,SMB
CUST-9944,33,26-35,Male,Detroit,Midwest,SMB
CUST-5373,41,36-50,Female,Miami,South,Consumer Premium
CUST-9169,41,36-50,Male,Miami,South,Consumer Premium
CUST-2350,42,36-50,Female,Seattle,West,Consumer Budget
CUST-6258,45,36-50,Male,Minneapolis,Midwest,Consumer Premium
CUST-1813,38,36-50,Non-Binary,Seattle,West,B2B Enterprise
CUST-1491,37,36-50,Male,Dallas,South,Consumer Premium
CUST-5309,34,26-35,Female,Seattle,West,Consumer Budget
CUST-8399,18,18-25,Male,Boston,North East,Consumer Premium
CUST-4469,39,36-50,Male,Boston,North East,SMB
CUST-3098,52,51-65,Female,Seattle,West,SMB
CUST-3535,38,36-50,Female,Miami,South,Consumer Budget
CUST-4821,38,36-50,Female,Detroit,Midwest,SMB
CUST-9654,29,26-35,Female,Atlanta,South,SMB
CUST-7397,32,26-35,Male,New York,North East,Consumer Budget
CUST-3762,43,36-50,Male,Minneapolis,Midwest,SMB
CUST-9538,38,36-50,Female,San Francisco,West,B2B Enterprise
CUST-8588,47,36-50,Female,San Francisco,West,SMB
CUST-5153,44,36-50,Male,Seattle,West,Consumer Premium
CUST-5406,44,36-50,Non-Binary,New York,North East,Consumer Premium
CUST-5433,52,51-65,Female,Seattle,West,SMB
CUST-9385,36,36-50,Female,Philadelphia,North East,B2B Enterprise
CUST-5113,40,36-50,Male,Philadelphia,North East,B2B Enterprise
CUST-9553,36,36-50,Male,Dallas,South,Consumer Premium
CUST-1036,26,26-35,Non-Binary,Boston,North East,Consumer Premium
CUST-9388,47,36-50,Female,Minneapolis,Midwest,SMB
CUST-6861,49,36-50,Female,San Francisco,West,Consumer Premium
CUST-2241,33,26-35,Male,Dallas,South,Consumer Budget
CUST-5091,23,18-25,Male,Philadelphia,North East,SMB
CUST-8912,40,36-50,Male,San Francisco,West,Consumer Premium
CUST-3910,49,36-50,Female,Detroit,Midwest,Consumer Premium
CUST-2773,34,26-35,Female,Detroit,Midwest,SMB
CUST-3434,54,51-65,Male,Chicago,Midwest,Consumer Budget
CUST-8400,39,36-50,Female,New York,North East,Consumer Budget
CUST-9881,26,26-35,Male,Seattle,West,SMB
CUST-5278,38,36-50,Female,Philadelphia,North East,Consumer Premium
CUST-4628,44,36-50,Male,Boston,North East,B2B Enterprise
CUST-5313,33,26-35,Female,Boston,North East,SMB
CUST-9162,36,36-50,Male,Seattle,West,B2B Enterprise
CUST-9770,40,36-50,Male,Seattle,West,Consumer Budget
CUST-1730,57,51-65,Male,New York,North East,Consumer Budget
CUST-1483,41,36-50,Male,Philadelphia,North East,SMB
CUST-2331,22,18-25,Female,Philadelphia,North East,Consumer Budget
CUST-4262,40,36-50,Female,Philadelphia,North East,Consumer Budget
CUST-2933,61,51-65,Male,San Francisco,West,B2B Enterprise
CUST-3100,46,36-50,Male,New York,North East,SMB
CUST-1784,35,26-35,Male,Philadelphia,North East,Consumer Budget
CUST-2055,43,36-50,Other,Miami,South,Consumer Budget
CUST-9140,75,65+,Male,Atlanta,South,SMB
CUST-4110,39,36-50,Male,Boston,North East,SMB
CUST-9202,67,65+,Male,San Francisco,West,SMB
CUST-7024,34,26-35,Female,Miami,South,Consumer Premium
CUST-4655,44,36-50,Male,Chicago,Midwest,SMB
CUST-4860,29,26-35,Female,Seattle,West,Consumer Budget
CUST-9789,44,36-50,Other,Los Angeles,West,Consumer Premium
CUST-9442,37,36-50,Male,Philadelphia,North East,Consumer Premium
CUST-1911,42,36-50,Male,San Francisco,West,B2B Enterprise
CUST-3601,24,18-25,Male,Philadelphia,North East,Consumer Budget
CUST-8069,18,18-25,Male,Detroit,Midwest,B2B Enterprise
CUST-6392,42,36-50,Male,New York,North East,Consumer Premium
CUST-9417,56,51-65,Male,Detroit,Midwest,SMB
CUST-3935,43,36-50,Male,Miami,South,Consumer Budget
CUST-5726,38,36-50,Male,Chicago,Midwest,B2B Enterprise
CUST-7588,54,51-65,Female,Seattle,West,B2B Enterprise
CUST-7041,49,36-50,Female,Minneapolis,Midwest,SMB
CUST-5720,51,51-65,Female,Detroit,Midwest,Consumer Budget
CUST-2071,38,36-50,Male,New York,North East,B2B Enterprise
CUST-4065,49,36-50,Non-Binary,Minneapolis,Midwest,Consumer Premium
CUST-1098,49,36-50,Female,Detroit,Midwest,SMB
CUST-4427,36,36-50,Male,Boston,North East,SMB
CUST-3885,67,65+,Male,Atlanta,South,Consumer Premium
CUST-5123,40,36-50,Female,Detroit,Midwest,B2B Enterprise
CUST-5311,31,26-35,Female,Atlanta,South,B2B Enterprise
CUST-9957,18,18-25,Female,Detroit,Midwest,Consumer Budget
CUST-7794,18,18-25,Female,Miami,South,Consumer Budget
CUST-4346,30,26-35,Male,Detroit,Midwest,Consumer Premium
CUST-9671,41,36-50,Female,Los Angeles,West,Consumer Budget
CUST-8877,49,36-50,Male,Seattle,West,B2B Enterprise
CUST-5691,44,36-50,Male,Boston,North East,Consumer Budget
CUST-8897,37,36-50,Female,Philadelphia,North East,B2B Enterprise
CUST-6479,35,26-35,Male,Chicago,Midwest,Consumer Budget
CUST-1702,36,36-50,Male,Dallas,South,SMB
CUST-7789,40,36-50,Female,Detroit,Midwest,SMB
CUST-9445,26,26-35,Male,New York,North East,SMB
CUST-5255,48,36-50,Male,Detroit,Midwest,SMB
CUST-8542,52,51-65,Male,Chicago,Midwest,SMB
CUST-1754,22,18-25,Female,Seattle,West,B2B Enterprise
CUST-8727,28,26-35,Female,Boston,North East,SMB
CUST-3317,18,18-25,Female,Atlanta,South,Consumer Budget
CUST-8915,23,18-25,Male,Dallas,South,SMB
CUST-8576,35,26-35,Female,Boston,North East,Consumer Premium
CUST-4133,33,26-35,Male,Minneapolis,Midwest,SMB
CUST-4304,18,18-25,Non-Binary,Minneapolis,Midwest,B2B Enterprise
CUST-9690,29,26-35,Male,Minneapolis,Midwest,SMB
CUST-6306,44,36-50,Female,Chicago,Midwest,SMB
CUST-6177,53,51-65,Female,Minneapolis,Midwest,Consumer Budget
CUST-8563,48,36-50,Male,San Francisco,West,Consumer Budget
CUST-5396,43,36-50,Female,Seattle,West,SMB
CUST-2872,42,36-50,Male,Detroit,Midwest,Consumer Premium
CUST-1916,27,26-35,Male,Seattle,West,SMB
CUST-5064,44,36-50,Female,Seattle,West,SMB
CUST-1369,43,36-50,Female,Miami,South,SMB
CUST-5119,46,36-50,Female,Chicago,Midwest,B2B Enterprise
CUST-2279,40,36-50,Other,Chicago,Midwest,Consumer Budget
CUST-2874,22,18-25,Male,Seattle,West,Consumer Premium
CUST-4810,48,36-50,Male,Seattle,West,B2B Enterprise
CUST-6387,39,36-50,Male,Miami,South,Consumer Budget
CUST-1856,48,36-50,Male,New York,North East,SMB
CUST-9315,45,36-50,Male,Atlanta,South,Consumer Budget
CUST-9808,48,36-50,Female,Atlanta,South,Consumer Budget
CUST-5520,38,36-50,Male,Dallas,South,SMB
CUST-8697,49,36-50,Male,Chicago,Midwest,Consumer Budget
CUST-7299,38,36-50,Male,Boston,North East,Consumer Premium
CUST-7891,33,26-35,Male,Atlanta,South,SMB
CUST-1132,45,36-50,Male,Minneapolis,Midwest,SMB
CUST-6901,27,26-35,Male,Miami,South,Consumer Premium
CUST-8941,18,18-25,Male,New York,North East,SMB
CUST-3869,46,36-50,Female,Dallas,South,SMB
CUST-9511,56,51-65,Female,Boston,North East,Consumer Budget
CUST-3060,38,36-50,Male,Philadelphia,North East,SMB
CUST-7945,39,36-50,Female,Dallas,South,Consumer Budget
CUST-3613,23,18-25,Male,Chicago,Midwest,Consumer Premium
CUST-5175,40,36-50,Female,San Francisco,West,B2B Enterprise
CUST-2851,42,36-50,Male,Seattle,West,Consumer Budget
CUST-7359,43,36-50,Male,Minneapolis,Midwest,SMB
CUST-8369,40,36-50,Male,Atlanta,South,Consumer Budget
CUST-4496,47,36-50,Male,San Francisco,West,Consumer Premium
CUST-5279,39,36-50,Male,Los Angeles,West,B2B Enterprise
CUST-4335,39,36-50,Female,Detroit,Midwest,Consumer Premium
CUST-4037,28,26-35,Female,Philadelphia,North East,Consumer Budget
CUST-7153,50,36-50,Male,Boston,North East,Consumer Premium
CUST-8059,33,26-35,Male,San Francisco,West,Consumer Budget
CUST-4223,50,36-50,Female,Seattle,West,SMB
CUST-1961,39,36-50,Female,Dallas,South,Consumer Budget
CUST-2214,20,18-25,Male,Detroit,Midwest,Consumer Budget
CUST-9431,31,26-35,Female,Atlanta,South,B2B Enterprise
CUST-3469,29,26-35,Male,Philadelphia,North East,SMB
CUST-3964,52,51-65,Female,New York,North East,SMB
